id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews,reviews_per_month,availability_2019
13305625,De Pijp - Rivierenbuurt,52.345700398500306,4.897945538663693,Entire home/apt,213,,1,0,,0
13306761,Westerpark,52.38932174805727,4.886580106816297,Entire home/apt,90,361,3,24,0.81,20
13307625,Centrum-Oost,52.363589451328146,4.899830190921484,Entire home/apt,240,,7,4,0.16,215
13308006,De Baarsjes - Oud-West,52.35828358134305,4.861481893907062,Private room,102,356,2,65,2.15,9
13308302,Centrum-West,52.368597355564354,4.881217923082846,Entire home/apt,240,,7,9,0.33,224
13308976,De Pijp - Rivierenbuurt,52.35562677087275,4.888986257887411,Entire home/apt,85,,1,10,0.33,0
13309412,IJburg - Zeeburgereiland,52.35518582607896,5.000350055996361,Entire home/apt,155,357,3,4,0.14,0
13309733,Centrum-Oost,52.36475433174048,4.884783365,Entire home/apt,174,,1,5,0.17,0
13309968,De Pijp - Rivierenbuurt,52.35546739370068,4.902800341159155,Private room,70,,2,76,2.57,112
13310739,De Baarsjes - Oud-West,52.35984782279571,4.8499827317952136,Entire home/apt,99,,5,1,0.03,0
13311521,Noord-Oost,52.40232536276237,4.945455158504145,Private room,60,,1,22,0.73,0
13312521,De Baarsjes - Oud-West,52.36293960679819,4.8664573285850645,Entire home/apt,125,350,3,28,0.97,158
13313569,Bos en Lommer,52.37799201749649,4.848888527447227,Entire home/apt,160,,3,32,1.05,13
13314104,Noord-West,52.41006763151246,4.9218162098491645,Private room,45,,3,2,0.07,0
13314493,Centrum-Oost,52.36436708797492,4.907445723,Private room,95,119,3,126,4.16,154
13315099,De Baarsjes - Oud-West,52.36805990337445,4.876519997827534,Entire home/apt,400,351,2,42,1.42,24
13320875,Oud-Noord,52.39800379,4.906766771940244,Entire home/apt,200,,5,3,0.18,0
13321135,Centrum-West,52.37258822,4.8861573661436175,Entire home/apt,199,,2,18,0.6,0
13321784,Bos en Lommer,52.379787256505224,4.846587785421418,Entire home/apt,140,,2,1,0.04,0
13322294,De Baarsjes - Oud-West,52.360043881891634,4.858389341971028,Entire home/apt,140,,3,1,0.03,0
13322965,De Pijp - Rivierenbuurt,52.354814793402824,4.901694912802727,Private room,99,,5,0,,0
13323689,De Baarsjes - Oud-West,52.36118241359392,4.856983860117328,Entire home/apt,235,,7,5,0.25,210
13324058,De Pijp - Rivierenbuurt,52.356167593997746,4.892432333281174,Entire home/apt,109,356,3,10,0.36,0
13324165,De Baarsjes - Oud-West,52.359584223453425,4.855766517994578,Entire home/apt,200,,7,2,0.41,326
13324244,Westerpark,52.375375318053315,4.872053361044789,Entire home/apt,126,355,2,31,1.19,0
13324296,De Pijp - Rivierenbuurt,52.352230961061785,4.894935242785854,Entire home/apt,175,,2,4,0.14,0
13324656,De Baarsjes - Oud-West,52.36032382999607,4.857896223962621,Entire home/apt,200,,7,0,,259
13325111,Centrum-West,52.38190096216936,4.883992889870534,Entire home/apt,108,,2,17,0.57,0
13327626,Westerpark,52.38294097135571,4.8731480908773275,Entire home/apt,225,,2,1,0.04,0
13328717,Zuid,52.34961859007843,4.875646947000623,Entire home/apt,325,,6,0,,0
13329152,Centrum-West,52.371414309924745,4.8935586770113035,Private room,100,,1,8,0.26,0
13329812,Oud-Oost,52.359876044604924,4.910904232,Entire home/apt,130,,1,1,0.03,0
13330153,Noord-West,52.407764997985275,4.902479195305488,Entire home/apt,120,362,6,7,0.24,0
13331165,Centrum-Oost,52.36391262967951,4.906550751001088,Entire home/apt,180,,2,5,0.18,0
13331256,Oostelijk Havengebied - Indische Buurt,52.37211902903453,4.949593705322426,Entire home/apt,225,,4,1,0.16,0
13331530,Centrum-West,52.37499937768786,4.889377949186987,Entire home/apt,135,,2,5,0.18,0
13336515,Watergraafsmeer,52.35348793,4.935721196,Entire home/apt,200,332,4,20,0.67,39
13336616,Zuid,52.35474908988849,4.884909960954552,Entire home/apt,110,,2,7,0.23,0
13336915,De Baarsjes - Oud-West,52.36828317885854,4.873419622966394,Entire home/apt,187,,3,43,1.41,1
13337290,Zuid,52.34859245192993,4.860869526811256,Entire home/apt,105,,3,0,,0
13337449,Noord-West,52.41449530987743,4.8840546217343945,Entire home/apt,150,,7,12,0.42,0
13338699,Zuid,52.35367822417735,4.876261755443019,Entire home/apt,160,327,3,18,0.63,86
13339655,De Baarsjes - Oud-West,52.35964692006914,4.862186603726302,Entire home/apt,137,,2,17,0.6,0
13339657,Westerpark,52.372800661163616,4.870510507678832,Entire home/apt,137,,2,11,0.39,0
13340212,Westerpark,52.38457751,4.872405535,Entire home/apt,90,,2,5,0.22,0
13340939,Zuid,52.3474227,4.860341072,Entire home/apt,85,,2,19,0.7,0
13343521,Zuid,52.35313890027224,4.877214257262262,Entire home/apt,159,,7,0,,0
13346972,Centrum-West,52.37218779015239,4.880535123,Entire home/apt,100,,7,1,0.03,0
13350004,Oostelijk Havengebied - Indische Buurt,52.365049724571726,4.9379275894044055,Entire home/apt,105,353,2,18,0.61,0
13350780,De Baarsjes - Oud-West,52.36322382,4.862445527411622,Private room,59,,1,22,0.78,0
13351132,Oostelijk Havengebied - Indische Buurt,52.373689947135134,4.940134393724963,Entire home/apt,190,,2,29,0.99,35
13352166,IJburg - Zeeburgereiland,52.36248577,4.963006890799639,Entire home/apt,110,87,2,39,1.33,62
13353566,Noord-Oost,52.385229650883296,4.955804153849666,Entire home/apt,175,66,2,13,0.97,334
13353584,Centrum-Oost,52.36986431930403,4.921239709288849,Entire home/apt,125,,4,17,0.58,0
13355057,De Baarsjes - Oud-West,52.37303292245842,4.854229701587164,Entire home/apt,100,,2,18,0.6,0
13355411,Centrum-West,52.37325278715947,4.882687966,Entire home/apt,145,,2,8,0.27,0
13357980,Zuid,52.34874228787975,4.868185032850248,Entire home/apt,500,,3,2,0.07,0
13365860,Oud-Noord,52.39320604047765,4.930691526403426,Private room,60,,7,8,0.28,0
13366832,Oostelijk Havengebied - Indische Buurt,52.37542922638118,4.943852086538626,Entire home/apt,97,,1,7,0.24,0
13367017,Westerpark,52.38566603354732,4.871030446659597,Entire home/apt,125,357,2,5,0.17,2
13367600,Centrum-West,52.38302689651122,4.888336144795534,Entire home/apt,125,,3,11,0.36,0
13368768,De Pijp - Rivierenbuurt,52.34659214600472,4.898681238568241,Entire home/apt,78,,5,0,,0
13369758,Bos en Lommer,52.37511628391099,4.845442845806634,Entire home/apt,70,,2,24,0.83,0
13370262,Centrum-Oost,52.36619658397507,4.923704068681051,Private room,55,,1,3,0.1,0
13370435,Buitenveldert - Zuidas,52.329827933399365,4.885580731992602,Entire home/apt,97,,1,2,0.07,0
13370939,De Baarsjes - Oud-West,52.36144232791485,4.856086209835369,Entire home/apt,120,,4,0,,0
13370965,Oostelijk Havengebied - Indische Buurt,52.36007503,4.944762343244578,Private room,115,363,2,86,3.05,8
13371136,De Pijp - Rivierenbuurt,52.35172958218954,4.8880364888270345,Entire home/apt,150,,3,16,0.54,0
13371825,Bos en Lommer,52.38343794434545,4.855348247184861,Entire home/apt,80,,2,2,0.09,0
13373021,De Pijp - Rivierenbuurt,52.347560261093655,4.909314378380682,Private room,60,329,1,233,7.71,20
13373546,Oostelijk Havengebied - Indische Buurt,52.37586732333154,4.935509570729427,Private room,60,,2,7,0.23,0
13373785,Westerpark,52.373784892246526,4.871460557919036,Entire home/apt,115,304,5,8,0.28,0
13374751,Noord-West,52.40697814110282,4.905585121445661,Entire home/apt,125,358,5,15,0.53,0
13375268,Oostelijk Havengebied - Indische Buurt,52.36144980974332,4.937155288086292,Private room,35,,1,1,0.03,0
13375308,Bos en Lommer,52.38160940086921,4.856205580611892,Private room,130,,1,5,0.17,0
13381387,Westerpark,52.38455433737629,4.879014793424128,Entire home/apt,100,,2,7,0.24,0
13382555,Centrum-Oost,52.36367045399847,4.886148306663207,Entire home/apt,385,153,4,89,3.01,315
13382881,Oud-Oost,52.35857238,4.921118371264167,Entire home/apt,80,,1,1,0.03,0
13383439,Oostelijk Havengebied - Indische Buurt,52.376728375614775,4.945075364811762,Entire home/apt,120,,2,3,0.1,0
13383801,Oud-Oost,52.35656879771749,4.929276598900486,Private room,80,,1,11,0.38,0
